0.05,0.04,0.404,0.030
0.05,0.093,0.381,0.030
0.05,0.209,0.316,0.030
0.05,0.195,0.282,0.030
0.05,0.279,0.227,0.030
0.05,0.434,0.146,0.030
0.1,0.1,0.458,0.030
0.1,0.182,0.457,0.030
0.1,0.194,0.407,0.030
0.1,0.301,0.396,0.030
0.1,0.389,0.347,0.030
0.1,0.474,0.235,0.030
0.3,0.109,0.547,0.030
0.3,0.168,0.491,0.030
0.3,0.201,0.484,0.030
0.3,0.383,0.486,0.030
0.3,0.456,0.488,0.030
0.3,0.731,0.467,0.030
0.7,0.068,0.658,0.030
0.7,0.186,0.654,0.030
0.7,0.274,0.677,0.030
0.7,0.332,0.642,0.030
0.7,0.482,0.635,0.030
0.7,0.577,0.649,0.030
0.7,0.739,0.658,0.030
0.9,0.13,0.872,0.030
0.9,0.273,0.856,0.030
0.9,0.43,0.83,0.030
0.9,0.585,0.915,0.030
0.9,0.71,0.91,0.030
0.9,0.82,0.88,0.030
